m0030,2194,2395,1203,2321
m2521,2257,4639,1534,4565
r0210,2225,5135,2786,5061
m0510,2187,2587,1561,2513
r0800,2192,17203,4926,17129
r0800,2195,17363,4977,17289
r0810,2118,8711,3264,8637
r0810,2228,8871,3329,8797
m2542,633,3367,1376,3293
m2000,2121,3483,1494,3409
m2551,2125,4815,1733,4741
r0310,634,6995,2952,6921
t5610,2190,2407,1280,2333
t5630,2287,2907,1288,2833
t5640,630,4267,2271,4193
m2562,2119,5035,1714,4961
r0400,2226,3943,1816,3869
r0430,2317,3951,2007,3877
m1220,2233,4227,1955,4153
m1240,2163,4019,2292,3945
m3004,2259,2487,1159,2413
m3002,2318,6375,1811,6301
m3003,2288,6011,1582,5937
