m2501,2140,856
m2502,2213,703
m2511,603,1706
r0000,2307,2350
r0010,2159,1575
r0020,635,2328
r0030,2145,1564
r0030,2101,1592
m0010,608,949
m0020,2229,902
m0020,601,930
m0030,2270,1166
m2521,609,1497
r0100,2212,1451
r0210,2218,2800
r0220,2310,2076
m0510,2107,1538
m0520,2321,1082
m0520,2252,1096
m2531,610,1350
m2532,604,1472
r0800,622,4852
r0800,2305,4866
r0800,2265,4954
r0810,2292,3278
r0810,2200,3343
r0810,2127,3380
m1500,2152,439
m1540,2278,1698
m1540,2253,1712
m2541,2214,1340
m2542,2199,1390
m2000,2124,1443
m2000,618,1457
m2001,2295,1837,20771
m2020,2302,1452
m2020,2219,1466
m2021,2231,1441
m2021,2142,1469
m2021,2202,1609,9098
m2022,2220,2544
m2551,628,1747
m2552,2151,974
m2552,2111,988
r0300,2184,2027
r0300,568,2113
r0310,2296,3029
m1020,517,1243
m1030,2189,1034
m1040,2208,1042
m1060,2260,886
t5530,2149,701
t5610,2249,1308
t5620,2311,2097
t5620,2174,2111
t5640,2281,2225
t5640,623,2299
m2561,2235,1637
m2562,2243,1742
r0400,2326,1844
r0420,2113,1446
r0420,2303,1460
r0430,2256,1947
r0430,2255,1961
r0410,2182,1591
r0410,2276,1619
m1220,2312,1992
m1230,2273,1441
m1230,2175,1698
m1240,656,2218
m1240,2168,2232
t3790,2246,1150
m3001,523,1526
m3001,632,1554
m3001,574,1582
m3002,2227,1774
m3003,522,1596
m3003,573,1624
m3003,2191,1638
